Trt,CV,Yr,Irri,Nit,Vari,DAP,Value
1,SC10,2005,F2,190,totaldryweight,60,4160.24
2,SC10,2005,F3,190,totaldryweight,60,3994.750667
3,SC10,2005,F4,190,totaldryweight,60,3592.213333
4,SC10,2005,F5,190,totaldryweight,60,2641.8
5,SC10,2005,F6,190,totaldryweight,60,2207.053333
6,SC10,2005,F2,380,totaldryweight,60,4507.72
7,SC10,2005,F3,380,totaldryweight,60,4567.643111
8,SC10,2005,F4,380,totaldryweight,60,4007.92
9,SC10,2005,F5,380,totaldryweight,60,2527.56
10,SC10,2005,F6,380,totaldryweight,60,2426.013333
11,SC10,2006,F2,190,totaldryweight,60,4315.098667
12,SC10,2006,F3,190,totaldryweight,60,4626.244
13,SC10,2006,F4,190,totaldryweight,60,3895.266667
14,SC10,2006,F5,190,totaldryweight,60,3091.937333
15,SC10,2006,F6,190,totaldryweight,60,2548.186667
16,SC10,2006,F2,380,totaldryweight,60,5820.580889
17,SC10,2006,F3,380,totaldryweight,60,5084.843556
18,SC10,2006,F4,380,totaldryweight,60,4719.54
19,SC10,2006,F5,380,totaldryweight,60,3179.785778
20,SC10,2006,F6,380,totaldryweight,60,2875.04
21,TC310,2005,F2,190,totaldryweight,60,3947.626667
22,TC310,2005,F3,190,totaldryweight,60,3821.539556
23,TC310,2005,F4,190,totaldryweight,60,3601.733333
24,TC310,2005,F5,190,totaldryweight,60,2556.12
25,TC310,2005,F6,190,totaldryweight,60,2200.706667
26,TC310,2005,F2,380,totaldryweight,60,4569.6
27,TC310,2005,F3,380,totaldryweight,60,4581.394222
28,TC310,2005,F4,380,totaldryweight,60,4255.44
29,TC310,2005,F5,380,totaldryweight,60,2740.173333
30,TC310,2005,F6,380,totaldryweight,60,2337.16
31,TC310,2006,F2,190,totaldryweight,60,4682.729333
32,TC310,2006,F3,190,totaldryweight,60,4319.752889
33,TC310,2006,F4,190,totaldryweight,60,3931.76
34,TC310,2006,F5,190,totaldryweight,60,2999.646222
35,TC310,2006,F6,190,totaldryweight,60,2457.746667
36,TC310,2006,F2,380,totaldryweight,60,5586.917778
37,TC310,2006,F3,380,totaldryweight,60,5679.896444
38,TC310,2006,F4,380,totaldryweight,60,5343.999111
39,TC310,2006,F5,380,totaldryweight,60,3153.235556
40,TC310,2006,F6,380,totaldryweight,60,2598.96
1,SC10,2005,F2,190,totaldryweight,75,6172.133333
2,SC10,2005,F3,190,totaldryweight,75,5913.559556
3,SC10,2005,F4,190,totaldryweight,75,4698.12
4,SC10,2005,F5,190,totaldryweight,75,3372.195556
5,SC10,2005,F6,190,totaldryweight,75,2946.44
6,SC10,2005,F2,380,totaldryweight,75,7657.253333
7,SC10,2005,F3,380,totaldryweight,75,7074.735111
8,SC10,2005,F4,380,totaldryweight,75,5829.413333
9,SC10,2005,F5,380,totaldryweight,75,3751.990667
10,SC10,2005,F6,380,totaldryweight,75,3098.76
11,SC10,2006,F2,190,totaldryweight,75,6722.389333
12,SC10,2006,F3,190,totaldryweight,75,6683.826222
13,SC10,2006,F4,190,totaldryweight,75,5243.986222
14,SC10,2006,F5,190,totaldryweight,75,3600.675556
15,SC10,2006,F6,190,totaldryweight,75,3160.64
16,SC10,2006,F2,380,totaldryweight,75,8642.308889
17,SC10,2006,F3,380,totaldryweight,75,7923.601778
18,SC10,2006,F4,380,totaldryweight,75,6434.250667
19,SC10,2006,F5,380,totaldryweight,75,4153.417333
20,SC10,2006,F6,380,totaldryweight,75,3408.16
21,TC310,2005,F2,190,totaldryweight,75,5902.4
22,TC310,2005,F3,190,totaldryweight,75,5793.872
23,TC310,2005,F4,190,totaldryweight,75,5023.386667
24,TC310,2005,F5,190,totaldryweight,75,3559.210667
25,TC310,2005,F6,190,totaldryweight,75,2833.786667
26,TC310,2005,F2,380,totaldryweight,75,7635.04
27,TC310,2005,F3,380,totaldryweight,75,7849.398667
28,TC310,2005,F4,380,totaldryweight,75,6243.533333
29,TC310,2005,F5,380,totaldryweight,75,3707.669778
30,TC310,2005,F6,380,totaldryweight,75,3195.546667
31,TC310,2006,F2,190,totaldryweight,75,6835.836
32,TC310,2006,F3,190,totaldryweight,75,6658.605333
33,TC310,2006,F4,190,totaldryweight,75,5186.707556
34,TC310,2006,F5,190,totaldryweight,75,3882.890667
35,TC310,2006,F6,190,totaldryweight,75,3000.386667
36,TC310,2006,F2,380,totaldryweight,75,9066.319111
37,TC310,2006,F3,380,totaldryweight,75,8761.732
38,TC310,2006,F4,380,totaldryweight,75,6734.500889
39,TC310,2006,F5,380,totaldryweight,75,3840.949778
40,TC310,2006,F6,380,totaldryweight,75,3362.146667
1,SC10,2005,F2,190,GrainYield,110,3200.330467
2,SC10,2005,F3,190,GrainYield,110,3795.999133
3,SC10,2005,F4,190,GrainYield,110,2618.4522
4,SC10,2005,F5,190,GrainYield,110,1914.5672
5,SC10,2005,F6,190,GrainYield,110,1276.378133
6,SC10,2005,F2,380,GrainYield,110,4917.809867
7,SC10,2005,F3,380,GrainYield,110,4807.1036
8,SC10,2005,F4,380,GrainYield,110,3378.648
9,SC10,2005,F5,380,GrainYield,110,2618.4522
10,SC10,2005,F6,380,GrainYield,110,1557.932133
11,SC10,2006,F2,190,GrainYield,110,3631.472
12,SC10,2006,F3,190,GrainYield,110,4021.242333
13,SC10,2006,F4,190,GrainYield,110,3036.085
14,SC10,2006,F5,190,GrainYield,110,1727.151833
15,SC10,2006,F6,190,GrainYield,110,1194.0188
16,SC10,2006,F2,380,GrainYield,110,5256.057733
17,SC10,2006,F3,380,GrainYield,110,4957.085467
18,SC10,2006,F4,380,GrainYield,110,3331.575867
19,SC10,2006,F5,380,GrainYield,110,1699.3795
20,SC10,2006,F6,380,GrainYield,110,1141.1556
21,TC310,2005,F2,190,GrainYield,110,3782.208733
22,TC310,2005,F3,190,GrainYield,110,3194.776
23,TC310,2005,F4,190,GrainYield,110,3350.4926
24,TC310,2005,F5,190,GrainYield,110,1783.175333
25,TC310,2005,F6,190,GrainYield,110,1238.8376
26,TC310,2005,F2,380,GrainYield,110,5236.9044
27,TC310,2005,F3,380,GrainYield,110,4317.161333
28,TC310,2005,F4,380,GrainYield,110,3434.9588
29,TC310,2005,F5,380,GrainYield,110,1853.563833
30,TC310,2005,F6,380,GrainYield,110,1295.1484
31,TC310,2006,F2,190,GrainYield,110,4095.940333
32,TC310,2006,F3,190,GrainYield,110,3823.568667
33,TC310,2006,F4,190,GrainYield,110,2801.456667
34,TC310,2006,F5,190,GrainYield,110,1652.453833
35,TC310,2006,F6,190,GrainYield,110,1321.963067
36,TC310,2006,F2,380,GrainYield,110,5039.8166
37,TC310,2006,F3,380,GrainYield,110,4479.2436
38,TC310,2006,F4,380,GrainYield,110,3065.367067
39,TC310,2006,F5,380,GrainYield,110,2174.382167
40,TC310,2006,F6,380,GrainYield,110,1739.505733
